house,appliance,actual_energy_Wh,estimated_energy_Wh,energy_error_percent
1,dishwasher,296077.4141666667,566931.8912990316,91.48096550853306
1,television,123802.08666666667,633182.9334835688,411.44770700706727
1,fridge_freezer,280279.8204165548,810007.3526617559,188.9995260657419
1,microwave,29902.769166666665,505609.57643717446,1590.8453314778271
1,oven,26932.218333333334,116101.32439524333,331.08712011125954
2,kettle,10019.3425,11748.62548380534,17.25944575510158
2,rice_cooker,1669.2166666666667,24199.96328903198,1349.7796345011323
2,washing_machine,6393.554166666667,36179.557531674705,465.8755144407765
2,dishwasher,20621.716666666667,32077.37987833659,55.551452853520544
2,fridge,20017.0475,34119.82134098053,70.45381613337595
5,fridge_freezer,23651.105833333335,103488.0092551295,337.56097488378674
5,washer_dryer,33049.9625,188355.27432305654,469.9107051121663
5,electric_oven,21691.4525,69142.43752792358,218.7542997774058
